GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedIntShortMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedObjectLongMap,560,0,6,0,56,0,36,0,33,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedShortSet,42,0,0,0,6,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedShortLongMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedFloatDoubleMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedCharFloatMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedByteFloatMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedByteSet,42,0,0,0,6,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedByteDoubleMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedCharCharMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedRandomAccessShortList,38,0,0,0,8,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedLongIntMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedIntFloatMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedDoubleByteMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedShortShortMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedLongFloatMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedShortFloatMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,SynchronizedSet,38,0,0,0,3,0,3,0,3,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedShortCharMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedIntLongMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedObjectByteMap,560,0,6,0,56,0,36,0,33,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedDoubleLongMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedRandomAccessDoubleList,38,0,0,0,8,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedRandomAccessFloatList,38,0,0,0,8,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedLongDoubleMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedDoubleObjectMap,506,0,6,0,53,0,33,0,30,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedFloatIntMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedDoubleIntMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedDoubleSet,42,0,0,0,6,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedIntSet,42,0,0,0,6,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedByteByteMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedShortIntMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedFloatLongMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedCharCollection,418,0,2,0,37,0,28,0,27,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedLongCollection,418,0,2,0,37,0,28,0,27,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedObjectIntMap,560,0,6,0,56,0,36,0,33,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedLongList,717,0,2,0,63,0,42,0,41,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedIntCollection,418,0,2,0,37,0,28,0,27,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedCharList,717,0,2,0,63,0,42,0,41,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedCharObjectMap,506,0,6,0,53,0,33,0,30,0
